#name zcmb zhel mb dmb ra dec
03D1au 0.50349 0.504299 22.93445 0.12605 36.043209 -4.037469
03D1ax 0.4952 0.496005 22.8802 0.11765 36.097286 -4.720774
03D1co 0.6782 0.678997 24.0377 0.2056 36.567749 -4.93505
03D1ew 0.8672 0.868006 24.34685 0.17385 36.058796 -4.665852
03D1fq 0.7992 0.799997 24.3605 0.17435 36.731934 -4.302217
03D3ay 0.37129 0.370894 22.28785 0.1245 214.493576 52.482613
03D3bl 0.35568 0.355297 22.05915 0.12645 214.982498 53.097401
03D4ag 0.28391 0.284998 21.40915 0.1028 333.690948 -17.739655
03D4au 0.46691 0.467996 23.21635 0.1587 334.041351 -18.077591
03D4cx 0.94791 0.948999 24.41155 0.1642 333.640625 -17.587511
03D4cz 0.69391 0.694998 23.79645 0.24445 334.174408 -17.926271
03D4di 0.89791 0.898999 24.40275 0.16645 333.542664 -17.506617
03D4fd 0.78991 0.791003 24.2188 0.11585 334.060211 -17.395573
03D4gg 0.59091 0.591996 23.3354 0.1666 334.16745 -18.164457
04D1dc 0.2102 0.210999 20.64495 0.10525 36.576935 -4.311968
04D1ff 0.8592 0.86 24.1237 0.1478 36.410923 -4.902631
04D1hx 0.5592 0.560004 23.1648 0.1335 36.177063 -4.790326
04D1iv 0.9972 0.998006 24.69965 0.1408 36.200211 -4.152559
04D1jg 0.5834 0.5842 23.34385 0.1258 36.552319 -4.1348
04D1ks 0.7972 0.798005 23.85445 0.1588 36.03965 -4.978721
04D1ow 0.9142 0.914998 24.37895 0.13735 36.677898 -4.30619
04D1pd 0.94921 0.950003 24.66675 0.15105 36.915634 -4.631172
04D1pp 0.7342 0.735002 23.8481 0.15575 36.301994 -4.701584
04D1qd 0.7662 0.766999 24.10805 0.1549 36.637814 -4.107177
04D1rx 0.9842 0.985003 24.828 0.153 36.295959 -4.618349
04D1si 0.7012 0.702004 23.7492 0.1738 36.203316 -4.56895
04D2al 0.83716 0.835995 24.1545 0.1807 150.468643 2.164106
04D2cf 0.37016 0.368994 22.1401 0.1211 150.483704 1.879478
04D2fs 0.35816 0.356996 21.95965 0.1186 150.092026 1.765398
04D2gc 0.52216 0.520995 23.15915 0.14165 150.413605 1.883052
04D2iu 0.70116 0.699997 23.7115 0.26255 150.304916 2.41505
04D2kr 0.74526 0.744096 23.8056 0.16465 150.155594 1.711927
04D2mh 0.59116 0.589999 23.2429 0.12625 149.941208 2.141025
04D3co 0.62039 0.62 23.5114 0.1131 214.458252 52.963612
04D3dd 1.0024 1.002004 25.0798 0.19135 214.451691 52.470676
04D3do 0.6104 0.610001 23.47615 0.1329 214.442001 52.267551
04D3fk 0.35819 0.357796 21.9694 0.11425 214.6091 52.528469
04D3gt 0.45138 0.450997 22.4159 0.12515 215.635803 52.646919
04D3hn 0.55239 0.552001 22.98515 0.13425 215.528732 52.228588
04D3ks 0.75039 0.750001 23.763 0.19155 215.639786 52.185184
04D3lu 0.82238 0.821998 24.3356 0.14625 215.283203 52.974792
04D3ml 0.95039 0.949999 24.68515 0.14485 214.162781 53.093254
04D3nh 0.34039 0.340003 21.9463 0.10555 215.611282 52.333447
04D3ny 0.8104 0.810003 24.0795 0.17055 214.734665 52.187466
04D4an 0.61191 0.613 23.7392 0.1593 333.987915 -17.695501
04D4bq 0.54891 0.549997 22.8926 0.1438 333.705933 -17.827595
04D4dw 1.02991 1.030999 24.7289 0.16015 334.186127 -17.83407
04D4gg 0.42291 0.424003 22.35675 0.1192 334.038574 -17.294411
04D4hu 0.70191 0.702998 23.90875 0.1805 333.900879 -17.8389
04D4ic 0.68591 0.686995 23.844 0.2326 333.591064 -17.943487
04D4ih 0.93291 0.934001 24.54795 0.15235 334.320923 -17.677382
04D4im 0.74991 0.751001 23.81055 0.18275 333.75354 -17.396042
04D4jr 0.46891 0.47 22.73255 0.11785 333.559662 -17.350218
04D4jw 0.95991 0.961002 24.80665 0.17245 334.328705 -17.665495
05D1az 0.8412 0.842003 24.22255 0.1456 36.302109 -4.602335
05D1cc 0.5632 0.563999 23.2428 0.11755 36.629868 -4.164801
05D1cl 0.8292 0.830004 24.39785 0.1526 36.273563 -4.220818
05D1dx 0.57921 0.580004 23.22495 0.12065 36.945789 -4.03249
05D1em 0.8652 0.866006 24.3693 0.14625 36.02301 -4.939906
05D1er 0.8592 0.860003 24.4442 0.16535 36.422737 -4.004535
05D1hm 0.58621 0.587002 23.5694 0.1417 36.942574 -4.717286
05D1ix 0.4892 0.490006 22.8653 0.1136 36.083195 -4.670004
05D1ke 0.68921 0.690005 23.6132 0.1518 36.692883 -4.862496
05D2ab 0.32416 0.322995 21.79365 0.10225 150.461853 2.106329
05D2ah 0.18516 0.183995 20.4558 0.10405 150.369705 1.862732
05D2bt 0.68116 0.679997 23.59755 0.1484 150.417679 2.566161
05D2bw 0.92116 0.920002 24.355 0.1708 149.627319 2.536402
05D2cb 0.42816 0.427 22.751 0.1294 149.852417 2.328181
05D2ck 0.69916 0.697999 23.95255 0.2153 150.188339 2.572851
05D2dt 0.57516 0.573995 23.38495 0.13845 150.349686 1.857741
05D2dy 0.51116 0.509997 23.11305 0.1165 150.242081 2.1831
05D2ec 0.64116 0.639999 23.62155 0.1659 149.8591 2.013626
05D2hc 0.35116 0.349997 22.2272 0.1136 150.019135 1.886025
05D2ie 0.34916 0.347998 22.14445 0.11065 150.262054 2.658085
05D2mp 0.35486 0.3537 22.23665 0.113 149.785965 2.204004
05D2nn 0.87116 0.870002 24.3402 0.1332 149.707291 2.710264
05D2ob 0.92516 0.923999 24.7687 0.10935 149.753021 1.848985
05D3cf 0.4194 0.419 22.59095 0.12095 214.222458 52.345055
05D3cq 0.89038 0.889995 24.1804 0.14085 214.692352 53.132137
05D3dd 0.48038 0.479997 22.7752 0.1151 215.626862 52.606792
05D3gp 0.58038 0.579999 23.36785 0.1608 215.676315 52.724689
05D3ha 0.80538 0.804996 24.09575 0.1555 215.210129 52.834038
05D3hs 0.66438 0.663998 23.6337 0.1611 215.306503 52.903809
05D3jb 0.74538 0.744999 24.00735 0.1527 215.541656 52.878132
05D3jk 0.7364 0.736003 23.77845 0.1399 214.197723 52.592487
05D3jr 0.37039 0.370003 22.04575 0.11295 214.869781 52.864849
05D3kp 0.85039 0.849996 24.31865 0.1304 215.012268 52.270828
05D3kx 0.21938 0.219002 20.8469 0.1023 215.45842 53.137119
05D3lb 0.64739 0.647002 23.6259 0.1613 214.382324 53.167927
05D3lr 0.60038 0.600004 23.4022 0.15455 215.550583 53.184277
05D3mn 0.76039 0.759994 23.92525 0.14995 214.688507 52.323147
